epoch,phase,train_loss,val_regret
1,warmup,0.28566826117245864,0.28699152427377983
2,warmup,0.0032846029686118042,0.1794435411497061
3,warmup,0.001734302143425438,0.07548989817922717
4,warmup,0.0012036037426872352,0.12259314415946868
5,warmup,0.0009389301160016522,0.10439345532413155
6,warmup,0.0008164846310776812,0.0969704745003216
7,warmup,0.0006362354674807642,0.07577032420439496
8,warmup,0.0006332026398512444,0.081890970796265
9,warmup,0.0005196241812072225,0.08443006393628902
10,warmup,0.0004652684226081673,0.08681073142176515
11,warmup,0.0004595500592614201,0.11411336513580199
12,warmup,0.000396043634993032,0.060151241326522394
13,warmup,0.0003958471328185099,0.05855029672683988
14,warmup,0.0003313982667837094,0.07796223490000123
15,warmup,0.0003093882846298395,0.06539233551389337
16,dbb,1.0,2.1287349551471313
17,dbb,1.0,2.1287349551471313
18,dbb,1.0,2.1287349551471313
19,dbb,1.0,2.1287349551471313
20,dbb,1.0,2.1287349551471313
21,dbb,1.0,2.1287349551471313
22,dbb,1.0,2.1287349551471313
23,dbb,1.0,2.1287349551471313
24,dbb,1.0,2.1287349551471313
25,dbb,1.0,2.1287349551471313
26,dbb,1.0,2.1287349551471313
