epoch,train_mse,val_mse,val_mae,lr
1,5.456858438633441,0.027930402725156563,0.1307838410139084,0.001
2,0.009296375535441584,0.005287272024225555,0.05520768463611603,0.001
3,0.002661740701681527,0.005807467399220636,0.05816788598895073,0.001
4,0.0017942114034055435,0.006198636199253847,0.05977902188897133,0.001
5,0.0013276227746415136,0.005933580564772849,0.059262290596961975,0.001
6,0.0010524734739609238,0.006013264664997861,0.060018423944711685,0.001
7,0.0008493555497753987,0.0065259300198392085,0.06307109445333481,0.001
8,0.0007973421565612074,0.0064390626928852454,0.061614714562892914,0.0005
9,0.00048021159522924293,0.006263152337824203,0.05971299856901169,0.0005
10,0.00046637721967721796,0.006192655078875624,0.058624833822250366,0.0005
11,0.00045648842189284684,0.006360837754466807,0.05962996557354927,0.0005
12,0.00043152746621814803,0.006371992880412475,0.0592053085565567,0.0005
