epoch,phase,train_loss,val_regret
1,warmup,0.2539714032488012,0.11874698139701052
2,warmup,0.003836623166853442,0.17730305177322936
3,warmup,0.0019210525599232659,0.08615546779113703
4,warmup,0.0013827314728014014,0.10858841757922096
5,warmup,0.001097762462001813,0.09049271953591048
6,warmup,0.0008774049490747624,0.07785386128122823
7,warmup,0.0008229004108384173,0.07506418272261264
8,warmup,0.0007249534044741504,0.10807468083321374
9,warmup,0.0006324814336849846,0.05905049387170785
10,warmup,0.0005797732299658749,0.08993326987873124
11,warmup,0.0005128800526019369,0.08668853688908738
12,warmup,0.0004433703573796629,0.11476729143021712
13,warmup,0.0004313610275165134,0.1081899966790042
14,warmup,0.00039256640210361625,0.07992542489456124
15,warmup,0.000363730552869768,0.09977326603785147
16,sspo,0.00016447925308431664,0.07460216106141052
17,sspo,0.00014246576277755007,0.07036156270515309
18,sspo,0.00013830631421321313,0.07098352292114078
19,sspo,0.00013635402224497826,0.07055913675308216
20,sspo,0.00013420177696470668,0.0695069603749669
21,sspo,0.0001316634511733421,0.06988669020194802
22,sspo,0.00012919257893036277,0.06893354293794372
23,sspo,0.00012691273244018914,0.06377496585017396
24,sspo,0.00012376539163204712,0.06633157222025676
25,sspo,0.0001215419309498763,0.05873509041708503
26,sspo,0.00011970893826276319,0.06024524425881839
27,sspo,0.00011686925976320316,0.06034713411460884
28,sspo,0.00011539763949492866,0.06261381419201133
29,sspo,0.00011388919912086257,0.059209287522465806
30,sspo,0.00011197286511858448,0.0634614433263289
31,sspo,0.00010945022864582236,0.05776493057223956
32,sspo,0.00010812107165820482,0.05981328596746281
33,sspo,0.00010582945032481558,0.060416988742030865
34,sspo,0.00010433790492813797,0.05681222214355045
35,sspo,0.00010448475853588592,0.050985057331876193
36,sspo,0.0001031649729612946,0.05721545306377904
37,sspo,0.00010076567506236162,0.05882337862600089
38,sspo,0.00010013898237794572,0.05405290457989096
39,sspo,9.974525246103308e-05,0.055614295115331634
40,sspo,9.808334619288153e-05,0.05710106123166694
41,sspo,9.690477913953182e-05,0.05717556295690992
42,sspo,8.605652249721303e-05,0.05550838677979313
43,sspo,8.611283814929117e-05,0.055403345243372426
44,sspo,8.576767416926902e-05,0.05448079103481082
45,sspo,8.479021303033677e-05,0.0553767468389115
